id,feature,existing_function,read,write,location,v2,status,required,regression,source
"C00001","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1768","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""mi on clk"" data-p=""dash"" onclick=""nav(this)"">"
"C00002","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1769","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""mi clk"" data-p=""inq"" onclick=""nav(this)"">"
"C00003","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1770","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""mi clk"" data-p=""pipe"" onclick=""nav(this)"">"
"C00004","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1772","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""mi clk"" data-p=""mgmt"" onclick=""nav(this)"">"
"C00005","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1773","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""mi clk"" data-p=""perf"" onclick=""nav(this)"">"
"C00006","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1774","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""mi clk"" data-p=""gyeongnam"" onclick=""nav(this)"">"
"C00007","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1775","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""mi clk"" data-p=""brief"" onclick=""nav(this)"">"
"C00008","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1777","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""mi clk"" data-p=""work"" onclick=""nav(this)"">"
"C00009","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1778","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""mi clk"" data-p=""sites"" onclick=""nav(this)"">"
"C00010","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1779","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""mi clk"" data-p=""report"" onclick=""nav(this)"">"
