id,domain,surface,action,operations,payload,target,transport,n8n_dependency,rule_status,adapter_status,read_after_write,evidence,next
"C01","공통","index PC/모바일 전환","화면 자동·수동 선택","","view/cookie","브라우저 view preference","localStorage/cookie","NO","CONFIRMED","LOCAL_ONLY_CONFIRMED","N/A","index.html:autoView/decide/mount","브라우저 선호값으로 유지하고 Staging 화면 회귀"
"C02L","공통","PC·모바일 로그인","이름·비밀번호 로그인","","name/password; Auth session","Supabase Auth + users/profile","Staging browser Auth/profile PASS; candidate not deployed","NO","NEEDS_VERIFICATION","BROWSER_STAGING_PASS_NOT_DEPLOYED","YES_PROFILE","crm.html:authSignIn; mobile.html:doSignIn; docs/operational-cutover-20260906/operational-ui-browser-read.json","배포 후보에서 회귀 유지"
"C02S","공통","PC·모바일 세션","세션 복원·로그아웃","","Auth session","Supabase Auth + local session state","real Staging Auth against local operational UI candidate; not deployed","NO","NEEDS_VERIFICATION","BROWSER_STAGING_PASS_NOT_DEPLOYED","N/A","crm.html:authInit/authSignOut; mobile.html:authRestore/doSignOut; docs/operational-cutover-20260906/operational-ui-browser-session.json","배포 후보에서 reload 복원·UI logout·만료 refresh fail-closed 회귀 유지"
"C03","공통","PC·모바일 전체 화면","업무 데이터 조회·자동동기화·진단","","resource filters","deals/inquiries/contacts/history/reporting","strict cursor pagination + real Staging browser/JWT PASS for six roles","NO","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","ACTOR_SCOPE_COMPLETE","crm.html:loadData; mobile.html:loadLive; docs/operational-cutover-20260906/operational-full-ui-browser-read.json; docs/operational-cutover-20260906/go-read-audit-20260907.json","회귀만 수행; 회사 전체를 암묵적으로 확대하지 않고 서버가 허용한 actor scope만 표시"
"C04","공통","저장 실패 배지","동일 write_id 재시도","all queued ops","write_id + op + payload","shared receipt/ACK target","local cumulative UI candidate after O02; uncertain only; conflict/rejected remain blocked; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_UI_QUEUE_PASS","crm.html:pushWrite/flushWrites; mobile.html:retryFailed; staging-phase1/transport.js; sql/queue-retry-compat/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I01","견적문의","PC Control Center","본사 개인 최초·재배정","inquiry_assign/direct_assign","inquiry_id,from,to,status,reason,at","inquiries + assignment_history + private receipt/audit","strict Staging Supabase; current UI n8n","YES","CONFIRMED","STAGING_COMPAT_PASS_FROZEN","YES_ASSIGNEE_STATUS","crm.html:7813","회귀만 수행"
"I02","견적문의","모바일 관리 문의","본사 개인 최초·재배정","inquiry_assign/direct_assign","inquiry_id,from,to,status,reason,at","same as I01","strict Staging Supabase; current UI n8n","YES","CONFIRMED","STAGING_COMPAT_PASS_FROZEN","YES_ASSIGNEE_STATUS","mobile.html:1946-1954","회귀만 수행"
"I03P","견적문의","모바일 오늘·문의 상세","통화 완료·다음 일정 협의","inquiry_assign/response_progress","inquiry_id,from=to,status=전화응대 완료,at,response=진행됨 — 다음 잡음","inquiries first/last response timestamps + private append-only response audit + scoped history","23-op cumulative candidate; existing external op/ACK retained; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","mobile.html:1411,1943; sql/business-v2/functions.sql:117-121; sql/inquiry-response-progress/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I03N","견적문의","모바일 오늘·문의 상세","다음주 재연락","inquiry_assign/response_next_week_retry","inquiry_id,from=to,status=응대중,at,response=다음주 다시","inquiries response timestamps + status + next_action_date + private audit/history","23-op cumulative candidate; existing external op/ACK retained; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","mobile.html:421-425,1411-1416,1942-1943; sql/inquiry-response-progress/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I03M","견적문의","모바일 오늘·문의 상세","부재·내일 재시도","inquiry_assign/response_missed_retry","inquiry_id,from=to,status=배정완료,at,response=못 받으심 (내일 재시도)","inquiries preserved response timestamps + status + next_action_date + private audit/history","23-op cumulative candidate; existing external op/ACK retained; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","mobile.html:421-425,1411-1416,1942-1943; business-v2 missed first_response KPI; sql/inquiry-response-progress/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
