operation,features,read,write,locations,v2,status,gap,test
"activity","F37 F15","activities/timeline + meaningful contact","pushWrite/direct POST → n8n crm-write op=activity","golden/crm.html:3370 todoLog; golden/crm.html:4330 contactActivity; golden/crm.html:4402 addDetailActivity; golden/crm.html:4946 briefCall; golden/crm.html:5717 spSaveAct; golden/crm.html:7207 relationshipSchedule; golden/crm.html:7215 relationshipConfirm; golden/crm.html:7291 saveExecAttachments; golden/crm.html:7382 relV8PurposeChanged; golden/mobile.html:775 addActivity; local/crm.html:3526 todoLog; local/crm.html:4600 contactActivity; local/crm.html:4673 addDetailActivity; local/crm.html:5227 briefCall; local/crm.html:6006 spSaveAct; local/crm.html:7516 relationshipSchedule; local/crm.html:7524 relationshipConfirm; local/crm.html:7600 saveExecAttachments; local/crm.html:7691 relV8PurposeChanged; local/crm.html:7967 openContextualMaterial; local/issue-modal.js:66 save; local/mobile.html:770 addActivity; local/stage-transition-ui.js:73 save","crm_activity_add_scoped_v2 초안 보류","CONTRACT_MISSING","새private business_events만 쓰면 기존 activities 소비자가 못 읽음; 실제접촉 판정/음성 source 부족","전화시도≠양방향접촉·음성미지원fallback·내용/결과/actor서버확정"
"amount","F31","oppAmt/quoteAmt/wonAmt","pushWrite/direct POST → n8n crm-write op=amount","golden/crm.html:4397 saveBasics; local/crm.html:4668 saveBasics; local/issue-modal.js:65 save","crm_deal_amount_scoped_v2 초안 보류","CONTRACT_MISSING","하나의 amount UPDATE로 세 금액 의미/원·만원 단위 유지 못함","공란/0/억/원·만원·반올림·필수금액·감사+동시수정"
"assign","F32 F50","owner/담당자Master/이력/권한","pushWrite/direct POST → n8n crm-write op=assign","golden/crm.html:4980 saveAssigneeChange; golden/mobile.html:2065 pickReassign; golden/mobile.html:2399 pickReassign; local/crm.html:5261 saveAssigneeChange; local/mobile.html:2059 pickReassign; local/mobile.html:2401 pickReassign","crm_assign_scoped_v2 초안 보류","CONTRACT_MISSING","역할/team eligibility·다건·인수인계와 별도할당권한 필요","UUID이관·원담당비노출·동일site 타기회불변·관리scope"
"attachment_complete","F51","attachment metadata / selected files","pushWrite/direct POST → n8n crm-write op=attachment_complete","golden/crm.html:7290 uploadExecAttachment; golden/mobile.html:2423 uploadAttachmentM; local/crm.html:7599 uploadExecAttachment; local/mobile.html:2425 uploadAttachmentM","v2 Storage 계약 없음; 이번 단계 미실행","CONTRACT_MISSING","20MB/분류/태그·privatebucket·사전권한/완료검증·부분실패필요","타ID/path변조거절·파일존재·실패정리·메타데이터만브라우저"
"attachment_prepare","F51","attachment metadata / selected files","pushWrite/direct POST → n8n crm-write op=attachment_prepare","golden/crm.html:7290 uploadExecAttachment; golden/mobile.html:2423 uploadAttachmentM; local/crm.html:7599 uploadExecAttachment; local/mobile.html:2425 uploadAttachmentM","v2 Storage 계약 없음; 이번 단계 미실행","CONTRACT_MISSING","20MB/분류/태그·privatebucket·사전권한/완료검증·부분실패필요","타ID/path변조거절·파일존재·실패정리·메타데이터만브라우저"
"campaign_create","L06","campaigns/message logs/template","pushWrite/direct POST → n8n crm-write op=campaign_create","local/crm.html:8045 campaignQueue","Edge/provider + v2 campaign API 없음","CONTRACT_MISSING","실제provider/n8n구현미확보·browser sent위조금지","queued/scheduled→실제callback후sent·중복receipt·실패·범위"
"close","F29 F30","한 일/결과/담당/근거/Next/금액","pushWrite/direct POST → n8n crm-write op=close","golden/crm.html:4501 confirmTransition; golden/crm.html:5763 spSaveStage; golden/mobile.html:1654 commitClose; local/crm.html:4775 confirmTransition; local/crm.html:6054 spSaveStage; local/mobile.html:1653 commitClose","원자적 structured-transition RPC 없음","CONTRACT_MISSING","새 초안은 stage+reason만; 필수 입력·정본 history·연관변경 누락","sent 금액/수주금액 Gate·종료이전stage·권한/409·전체 transaction"
"contact","F41","contacts/people/contact_assignment","pushWrite/direct POST → n8n crm-write op=contact","golden/crm.html:5718 spSaveAct; local/crm.html:6007 spSaveAct","contact-write v2 없음","CONTRACT_MISSING","직함/대표번호/개인휴대폰·재직기간·이동이력·동의 범위 보존","이름같음 자동병합금지·이동시 양쪽현장/history·UUID+권한"
"contact_move","F41","contacts/people/contact_assignment","pushWrite/direct POST → n8n crm-write op=contact_move","golden/crm.html:4346 saveManagerMove; golden/mobile.html:1517 saveManagerMoveM; local/crm.html:4616 saveManagerMove; local/mobile.html:1515 saveManagerMoveM","contact-write v2 없음","CONTRACT_MISSING","직함/대표번호/개인휴대폰·재직기간·이동이력·동의 범위 보존","이름같음 자동병합금지·이동시 양쪽현장/history·UUID+권한"
"contact_relationship","F48","여러 연락처 decision_role/relationship_status","pushWrite/direct POST → n8n crm-write op=contact_relationship","golden/crm.html:7243 execRelationBadges; golden/mobile.html:2392 saveRelationshipM; local/crm.html:7552 execRelationBadges; local/mobile.html:2394 saveRelationshipM","relationship-map v2 없음","CONTRACT_MISSING","contact 한명 축약금지·Deal/Contact 조합 권한 필요","의사결정자/영향자/관계상태·동일사람다른현장 분리"
"contact_upsert","F41 F44","contacts/people/contact_assignment","pushWrite/direct POST → n8n crm-write op=contact_upsert","golden/crm.html:4304 saveContactInfo; golden/crm.html:4327 saveQuickContact; golden/crm.html:7155 consentBadges; golden/crm.html:7159 consentBadges; golden/mobile.html:1501 saveContactM; golden/mobile.html:1508 saveContactM; golden/mobile.html:2297 rmBadgesM; local/crm.html:4574 saveContactInfo; local/crm.html:4597 saveQuickContact; local/crm.html:7464 consentBadges; local/crm.html:7468 consentBadges; local/mobile.html:1499 saveContactM; local/mobile.html:1506 saveContactM; local/mobile.html:2299 rmBadgesM","contact-write v2 없음","CONTRACT_MISSING","직함/대표번호/개인휴대폰·재직기간·이동이력·동의 범위 보존","이름같음 자동병합금지·이동시 양쪽현장/history·UUID+권한"
"crm_cleanup_apply","L10","crm_cleanup_state/preview + local candidates","Supabase RPC crm_cleanup_apply","local/data-cleanup-ui.js:34 save","v2 cleanup 승인/범위계약 미확인","CONTRACT_MISSING","Golden dup와달리Site정본연결/문의활동병합/사람이동; 로컬SQL만","fingerprint stale 거절·모든원본/매출/첨부/견적보존·재시도멱등"
"crm_cleanup_preview","L10","crm_cleanup_state/preview + local candidates","Supabase RPC crm_cleanup_preview","local/data-cleanup-ui.js:33 preview","v2 cleanup 승인/범위계약 미확인","CONTRACT_MISSING","Golden dup와달리Site정본연결/문의활동병합/사람이동; 로컬SQL만","fingerprint stale 거절·모든원본/매출/첨부/견적보존·재시도멱등"
"crm_cleanup_state","L10","crm_cleanup_state/preview + local candidates","Supabase RPC crm_cleanup_state","local/data-cleanup-ui.js:12 refresh","v2 cleanup 승인/범위계약 미확인","CONTRACT_MISSING","Golden dup와달리Site정본연결/문의활동병합/사람이동; 로컬SQL만","fingerprint stale 거절·모든원본/매출/첨부/견적보존·재시도멱등"
