id,name,read,write,location,v2,status,gap,test
"F01","통합 진입점·PC/모바일 자동/수동 전환","URL view → 저장 선택 → UA/터치/폭","nf_view_pref / nf_view 쿠키; iframe URL","golden/index.html:89 autoView; golden/index.html:99 decide; golden/index.html:110 mount","기존 index 유지 + Staging endpoint guard 필요","TEST_MISSING","축약 staging 파일은 기존 iframe/토글/딥링크 대체물이 아님","PC/폰/태블릿·명시 view 우선·새로고침·debug/demo 전달"
"F02","로그인·승인대기·프로필","Supabase Auth + users 이메일 조회","Auth password sign-in / 승인거부 sign-out","golden/crm.html:2074 authAdmit; golden/crm.html:2098 authSignIn; golden/mobile.html:927 authAdmit; golden/mobile.html:943 doSignIn","crm_profile_scoped_v2 + original PC/mobile copy auth adapter","TEST_MISSING","원본 복제본 + 실제 JWT JSDOM 12/12. 실제 브라우저 로그인/승인거부/이름변경 회귀 미완료. 비밀번호 숫자 강제 변환 제거. PC overlay 파일2개 누락.","실제 6 JWT 로그인·inactive 거절·이름변경에도 UUID 동일; 기존 폼 회귀"
"F03","세션 복원·로그아웃·갱신","SB.auth.getSession/onAuthStateChange","SB.auth.signOut; 새로고침","golden/crm.html:2059 authInit; golden/crm.html:2119 authWatch; golden/crm.html:2126 authSignOut; golden/mobile.html:921 authRestore","Staging/ref/Auth UID/v1 isolated session and app storage","TEST_MISSING","JSDOM 실제 JWT 세션복원/로그아웃 및 로컬 계정교체 캐시/큐 제거 PASS. 실제 브라우저 refresh 만료/계정교체/다중탭은 미검증.","refresh 만료/로그아웃/두 계정 전환 뒤 타인 캐시·큐 0"
"F04","rep/admin/dual 모드·역할별 홈","ME.role / G.user.role; 화면 역할 선택","기기 모드 localStorage","golden/crm.html:3763 applyRoleHome; golden/crm.html:3767 setHomeRole; golden/mobile.html:1349 switchMode; golden/mobile.html:1325 rLocked","server source_role + permission_role + allowed_modes; mobile original mode controls","TEST_MISSING","6계정 실제 JWT 매핑 및 JSDOM 관리/내 영업 전환 PASS. dual 실제 계정 없음; PC 역할별 홈/브라우저 회귀 미완료. 모드는 서버 scope를 확대하지 않음.","dual 내 영업↔관리·consult/branch 허용 화면, 모드 전환으로 scope 확장 불가"
"F05","공통 조회·자동동기화·진단","n8n crm-api → B / DEALS / ADMIN; cache fallback","배경조회/캐시; 진단 복사","golden/crm.html:2731 loadData; golden/crm.html:2703 applyBundle; golden/mobile.html:1042 loadLive; golden/crm.html:2658 runDiag","Phase1.read(resource,args): complete/partial/unavailable envelope; target work_items reader","CONTRACT_MISSING","Phase1 공통 contract 준비. 전체 B bundle을 만들지 않음. 업무별 reader/전체필드/자동동기화/진단은 후속 Phase 대상이며 아직 unavailable.","동일 UUID PC→모바일 재조회·오류/빈 응답·변경 중 재조회·Legacy 호출0"
"F06","쓰기 큐·ACK·재시도·서버 UUID 채택","WRITE_Q / WQ / 임시 ID 맵","n8n crm-write POST {op,payload,write_id}; localStorage 재시도","golden/crm.html:2520 pushWrite; golden/crm.html:2529 flushWrites; golden/crm.html:2548 adoptServerId; golden/mobile.html:812 flushWrites","crm_write_command_v2(uuid,text,uuid,integer,jsonb) + private receipts + isolated queue","CONTRACT_MISSING","공종용 공통 ACK/멱등성/409 실제 Staging PASS. 기존 업무 handler는 expected_version 전달이 없어 fail-closed; 업무별 UI binding/신규 UUID 생성 계약은 미완료. 거짓 전체 Parity PASS 금지.","응답유실/오프라인/중복클릭/새로고침에도 중복 Deal0·거짓 저장완료0"
"F07","대시보드 기간·브랜드·담당자·드릴다운","B.deals/inquiries; 기간·snapshot·권한 범위별 client 계산","필터/선택은 로컬 UI","golden/crm.html:2809 paintPeriod; golden/crm.html:2865 dashboardDealScope; golden/crm.html:2946 towerDrill; golden/crm.html:3543 paintTowerStageBrand","crm_dashboard_scoped_v2 초안 보류","CONTRACT_MISSING","단순 생성일 SUM은 기존 시점/브랜드·기술문의 제외·snapshot 의미와 다름","같은 합성 fixture를 기존 계산식과 v2에 넣어 모든 필터/클릭 숫자 일치"
"F08","금액 정본·예상매출·가중 Pipeline","quote_amount/won_amount/opportunity amount + STAGE_MASTER.prob","조회 전용","golden/crm.html:2396 quoteAmt; golden/crm.html:2397 wonAmt; golden/crm.html:2398 oppAmt; golden/crm.html:2903 paintTowerMoney; golden/crm.html:3945 paintForecast","금액 분리 reader/집계 계약 없음","CONTRACT_MISSING","단일 amount로 합치면 예상/견적/수주와 missing coverage 손실","미입력은0으로 단정하지 않음; 금액단위·확률·수주일 기준 비교"
"F09","대시보드 유입·전환 Funnel·병목","B.inquiries/deals + origin/전환 link/단계","조회·드릴다운","golden/crm.html:3029 paintSalesPipe; golden/crm.html:3418 paintTowerFunnel; golden/crm.html:3141 paintTowerNeck2; golden/crm.html:3125 paintTowerOrigin","Funnel scoped aggregate 없음","CONTRACT_MISSING","회사 전체 vs 허용 범위, 문의/Deal 중복계수·유입 원천 보존 필요","유입/배정/응대/전환/수주 건수와 원본 드릴다운 일치"
"F10","연간 목표·전년비·기간 추이","기간별 수주/배정; yearGoal 설정","localStorage 연간 목표","golden/crm.html:3153 yearGoal; golden/crm.html:3154 setYearGoal; golden/crm.html:3176 paintExecYoY; golden/crm.html:3109 paintTowerTrend","목표 저장·시계열 scoped API 없음","CONTRACT_MISSING","목표 수정 범위/공유 여부·전년비 빈 이력 표시 보존","연도/분기·연간 목표 변경·이력 없는 기간 처리"
